date,numbers
3/1/2015,"7,10,18,20,24,25,27,28"
10/1/2015,"2,7,10,16,19,24,35,4"
17/01/2015,"4,7,14,21,30,32,36,15"
24/01/2015,"1,4,14,20,22,32,34,21"
31/01/2015,"4,6,9,14,25,26,33,15"
7/2/2015,"2,13,19,21,25,26,27,12"
14/02/2015,"1,6,12,25,27,31,32,5"
21/02/2015,"1,3,6,18,19,35,36,32"
28/02/2015,"2,9,14,15,20,27,36,5"
7/3/2015,"3,19,21,24,26,28,31,29"
14/03/2015,"13,15,18,21,22,31,35,28"
21/03/2015,"1,10,16,17,24,35,36,13"
28/03/2015,"5,11,22,23,25,26,36,17"
4/4/2015,"3,8,9,16,20,26,36,2"
11/4/2015,"1,8,11,15,16,21,35,31"
18/04/2015,"1,10,14,24,25,30,32,33"
25/04/2015,"4,11,18,22,28,30,33,29"
2/5/2015,"9,13,15,16,23,29,34,32"
9/5/2015,"1,8,15,17,22,33,34,11"
16/05/2015,"8,13,17,26,31,35,36,21"
23/05/2015,"4,7,10,11,18,30,36,35"
30/05/2015,"3,6,10,12,13,23,32,26"
6/6/2015,"2,13,20,26,28,29,30,8"
13/06/2015,"5,10,12,20,21,24,30,34"
20/06/2015,"1,17,21,22,28,32,33,16"
27/06/2015,"2,6,8,25,29,31,34,21"
4/7/2015,"2,15,16,20,27,30,31,3"
11/7/2015,"5,6,23,28,32,34,36,12"
18/07/2015,"9,13,15,17,21,33,36,12"
25/07/2015,"5,7,11,16,27,31,34,3"
1/8/2015,"1,5,7,9,12,25,35,20"
8/8/2015,"6,7,15,20,24,34,36,19"
15/08/2015,"8,15,18,24,25,32,36,7"
22/08/2015,"3,4,9,17,21,24,36,31"
29/08/2015,"4,6,8,20,33,35,36,23"
5/9/2015,"4,11,12,15,28,33,35,32"
12/9/2015,"6,12,14,27,30,32,33,16"
19/09/2015,"3,4,19,23,28,30,31,14"
26/09/2015,"2,4,13,25,27,31,36,32"
3/10/2015,"1,10,18,20,23,27,33,15"
10/10/2015,"1,2,3,14,18,21,35,30"
17/10/2015,"1,8,12,24,26,27,34,18"
24/10/2015,"3,5,6,13,19,31,33,34"
31/10/2015,"2,11,12,15,16,23,27,30"
7/11/2015,"2,11,19,21,24,27,31,30"
14/11/2015,"11,12,13,15,30,31,35,29"
21/11/2015,"7,19,22,29,30,32,33,15"
28/11/2015,"4,5,10,17,21,23,34,27"
5/12/2015,"3,5,11,21,30,33,36,17"
12/12/2015,"1,8,10,16,19,26,33,13"
19/12/2015,"1,13,14,15,21,25,27,9"
26/12/2015,"10,12,13,21,27,30,33,24"
2/1/2016,"2,7,9,16,18,28,35,15"
9/1/2016,"5,7,13,21,23,27,29,16"
16/01/2016,"4,7,10,12,24,25,31,33"
23/01/2016,"1,12,17,20,24,30,36,29"
30/01/2016,"2,9,10,13,16,23,36,14"
6/2/2016,"10,13,21,22,25,28,31,12"
13/02/2016,"1,2,3,7,15,17,32,33"
20/02/2016,"11,13,17,20,22,28,35,5"
27/02/2016,"4,5,16,23,25,27,31,11"
5/3/2016,"5,14,15,18,22,24,35,10"
12/3/2016,"3,13,25,27,29,32,33,23"
19/03/2016,"1,2,4,8,10,30,34,23"
26/03/2016,"14,19,21,30,32,32,35,10"
2/4/2016,"2,8,9,13,16,30,35,33"
9/4/2016,"5,9,15,16,24,33,36,13"
16/04/2016,"6,7,17,18,23,29,35,11"
23/04/2016,"3,13,15,19,26,27,32,5"
30/04/2016,"2,5,9,17,23,26,27,19"
7/5/2016,"6,13,15,26,27,35,36,16"
14/05/2016,"14,17,21,26,29,32,36,27"
21/05/2016,"3,6,10,14,25,29,34,22"
28/05/2016,"3,10,11,15,25,26,29,35"
4/6/2016,"2,9,24,27,28,29,32,22"
11/6/2016,"3,6,7,24,26,29,35,1"
18/06/2016,"1,11,13,14,15,27,29,22"
25/06/2016,"7,17,24,25,31,33,35,19"
2/7/2016,"6,14,18,20,25,27,30,13"
9/7/2016,"3,6,10,18,22,27,34,29"
16/07/2016,"1,4,8,10,13,24,32,30"
23/07/2016,"6,17,21,24,29,30,32,19"
30/07/2016,"1,8,11,20,22,28,30,27"
6/8/2016,"3,13,15,18,23,24,36,20"
13/08/2016,"8,15,19,20,23,24,33,10"
20/08/2016,"6,9,14,18,22,23,29,31"
27/08/2016,"2,7,9,12,17,18,28,22"
3/9/2016,"2,4,9,18,21,28,33,10"
10/9/2016,"3,6,12,15,18,20,23,36"
17/09/2016,"3,6,10,11,15,22,28,18"
